Scaled Voltage,Raw Voltage,Scaled Current,Raw Current,Balancing,Voltage Offset,Adjusted Voltage,10ms Avg. Voltage,10ms Avg. Current,Vset Changed
3.80003595,8500348,3.28861713,12802514,false,0.321660072,4.12328815,3.79997015,3.29026151,false
3.80000305,8500274,3.29158425,12806496,false,0.321660072,4.12328815,3.79994965,3.29089093,false
3.80046368,8501305,3.28553867,12798382,true,0.32124272,4.12286997,3.79999495,3.29113531,false
3.80000734,8500284,3.28673315,12799985,false,0.32124272,4.12286997,3.80013275,3.2900939,false
3.80022192,8500764,3.2828064,12794715,true,0.321042955,4.12267017,3.80020332,3.28828359,false
3.79982519,8499877,3.2848506,12797459,true,0.321200252,4.12282753,3.80008459,3.28771448,false
3.80003786,8500352,3.28726578,12800700,false,0.321200252,4.12282753,3.80006218,3.28751898,false
3.8001442,8500590,3.28262448,12794471,true,0.321070433,4.12269783,3.80006456,3.28690195,false
3.79972649,8499656,3.2835145,12795665,true,0.32131654,4.12294388,3.80003929,3.28619385,false
3.80003405,8500344,3.28452396,12797020,false,0.32131654,4.12294388,3.80005002,3.28580594,false
3.80045223,8501279,3.28374338,12795972,true,0.3209095,4.12253714,3.80009151,3.28531837,false
3.80002546,8500325,3.28608155,12799111,false,0.3209095,4.12253714,3.80009389,3.28476834,false
3.7998693,8499975,3.28432322,12796751,false,0.3209095,4.12253714,3.80003428,3.28464651,false
3.79966927,8499528,3.28532934,12798101,true,0.321207106,4.12283468,3.80000043,3.28450632,false
3.80006504,8500413,3.28390718,12796192,false,0.321207106,4.12283468,3.79998469,3.28461647,false
3.80003786,8500352,3.28367043,12795875,false,0.321207106,4.12283468,3.80000615,3.28449821,false
3.80015683,8500618,3.28324556,12795304,true,0.321065903,4.12269354,3.80001783,3.28409648,false
3.80008936,8500467,3.28550816,12798341,false,0.321065903,4.12269354,3.80001259,3.28438497,false
3.79978323,8499782,3.28198195,12793608,true,0.321260959,4.12288857,3.80001831,3.28423166,false
3.80019426,8500702,3.28525782,12798005,true,0.321086079,4.12271357,3.80003428,3.28430486,false
3.7998929,8500028,3.28433228,12796763,false,0.321086079,4.12271357,3.79997826,3.28436351,false
3.79991961,8500088,3.28595042,12798935,false,0.321086079,4.12271357,3.79996753,3.28435063,false
3.79983759,8499904,3.28520823,12797939,true,0.3212322,4.12285948,3.79996443,3.28443909,false
